KOD10;NEV
A7780;Egyéb foltoslázak
A7790;Foltos láz k.m.n.
A78H0;Q-láz
A7900;Lövészárok láz
A7910;Rickettsia-himlő Rickettsia akari miatt
A7980;Egyéb meghatározott rickettsiosisok
A7990;Rickettsiosis k.m.n.
A8000;Heveny poliomyelitis, vaccinálás következtében
A8010;Heveny poliomyelitis, vad vírus, behurcolt
A8020;Heveny poliomyelitis, vad vírus, honi
A8030;Heveny poliomyelitis egyéb és k.m.n.
A8040;Heveny, nem bénulásos poliomyelitis
A8090;Heveny poliomyelitis k.m.n.
A8100;Creutzfeldt-Jakob betegség
A8110;Subacut sclerotisáló panencephalitis
A8120;Progresszív, multifocalis leukoencephalopathia
A8180;A központi idegrendszer egyéb slow vírus fertőzései
A8190;A központi idegrendszer slow vírus fertőzés, k.m.n.
A8200;Erdei veszettség
A8210;Városi veszettség
A8290;Veszettség k.m.n.
A8300;Japán encephalitis
A8310;Nyugati ló-encephalitis
A8320;Keleti ló-encephalitis
A8330;Saint Louis encephalitis
A8340;Ausztrál encephalitis
A8350;Kaliforniai encephalitis
A8360;Rocio-vírus betegség
A8380;Egyéb szúnyog által terjesztett vírusos agyvelőgyulladás
A8390;Szúnyog által terjesztett vírusos agyvelőgyulladás k.m.n.
A8400;Távol-keleti kullancs encephalitis [Orosz tavaszi-nyári encephalitis]
A8410;Közép-európai kullancs encephalitis
A8480;Egyéb kullancs által terjesztett vírusos agyvelőgyulladás
A8490;Kullancs által terjesztett vírusos agyvelőgyulladás k.m.n.
A8500;Enterovirus okozta agyvelőgyulladás (G05.1*)
A8510;Adenovirus okozta agyvelőgyulladás (G05.1*)
A8520;Ízeltlábúak által terjesztett agyvelőgyulladás, k.m.n.
A8580;Egyéb meghatározott vírusos agyvelőgyulladás
A86H0;Vírusos agyvelőgyulladás k.m.n.
A8700;Enterovirus által okozott agyhártyagyulladás (G02.0*)
A8710;Adenovirus által okozott agyhártyagyulladás (G02.0*)
A8720;Lymphocytás choriomeningitis
A8780;Egyéb vírusos agyhártyagyulladás
A8790;Vírusos agyhártyagyulladás k.m.n.
A8800;Enterovirus által okozott kiütéses láz [Bostoni kiütéses láz]
A8810;Járványos szédülés
A8880;A központi idegrendszer egyéb meghatározott vírusfertőzései
A89H0;A központi idegrendszer vírusfertőzései, k.m.n.
A90H0;Dengue láz [klasszikus dengue]
A91H0;Haemorrhagiás dengue láz
A9200;Chikungunya vírus betegség
A9210;O'nyong-nyong láz
A9220;Venezuelai ló-láz
A9230;Nyugat-Nílusi láz
A9240;Rift Valley láz
A9280;Egyéb meghatározott, szúnyog által terjesztett vírusos lázak
A9290;Szúnyog által terjesztett vírusos láz, k.m.n.
A9300;Oropouche vírus betegség
A9310;Phlebotomus papatasii láz
A9320;Kolorádói kullancs-láz
A9380;Egyéb meghatározott, ízeltlábúak által terjesztett vírusos lázak
A94H0;Ízeltlábúak által terjesztett vírusos láz, k.m.n.
A9500;Erdei sárgaláz
A9510;Városi sárgaláz
A9590;Sárgaláz k.m.n.
A9600;Junin haemorrhagiás láz
A9610;Machupo haemorrhagiás láz
A9620;Lassa-láz
A9680;Egyéb Arenavirus haemorrhagiás lázak
A9690;Arenavirus haemorrhagiás láz k.m.n.
A9800;Krimi-Kongói haemorrhagiás láz
A9810;Omszki haemorrhagiás láz
A9820;Kyasanur Forest betegség
A9830;Marburg vírus betegség
A9840;Ebola vírus betegség
A9850;Haemorrhagiás láz renalis syndromával
A9880;Egyéb meghatározott vírusos haemorrhagiás lázak
A99H0;Vírusos haemorrhagiás láz, k.m.n.
B0000;Ekzema herpeticum
B0010;Herpesvirus által okozott hólyagos bőrgyulladás
B0020;Herpesvirus által okozott gingivostomatitis és pharyngotonsillitis
B0030;Herpesvirus agyhártyagyulladás (G02.0*)
B0040;Herpesvirus agyvelőgyulladás (G05.1*)
B0050;A szem herpesvirus betegsége
B0070;Disszeminált herpesvirus betegség
B0080;Herpesvirus fertőzés egyéb formái
B0090;Herpesvirus fertőzés, k.m.n.
B0100;Agyhártyagyulladás bárányhimlő miatt (G02.0*)
B0110;Agyvelőgyulladás bárányhimlő miatt (G05.1*)
B0120;Tüdőgyulladás bárányhimlő miatt (J17.1*)
B0180;Bárányhimlő egyéb szövődménnyel
B0190;Bárányhimlő szövődmény nélkül
B0200;Zoster agyvelőgyulladás (G05.1*)
B0210;Zoster agyhártyagyulladás (G02.0*)
B0220;Zoster egyéb idegrendszeri érintettséggel
B0230;A szem zoster-betegsége
B0270;Disszeminált zoster
B0280;Zoster egyéb szövődményekkel
B0290;Zoster szövődmény nélkül
B03H0;Himlő (variola vera)
B04H0;Majomhimlő
B0500;Agyvelőgyulladással szövődött kanyaró (G05.1*)
B0510;Agyhártyagyulladással szövődött kanyaró (G02.0*)
